base_beta,sigma,corr_len,sample_idx,alpha_min,sep_event
-0.18,0.03,0.02,32,-0.40840398605609124,1
-0.18,0.03,0.02,33,-0.40744622182452384,1
-0.18,0.03,0.02,34,-0.40800894217768646,1
-0.18,0.03,0.02,35,-0.40755925304787183,1
-0.18,0.03,0.02,36,-0.4021619626814954,1
-0.18,0.03,0.02,37,-0.4070535373400726,1
-0.18,0.03,0.02,38,-0.4046363733831034,1
-0.18,0.03,0.02,39,-0.4028041757234866,1
-0.18,0.03,0.02,40,-0.4024590847247734,1
-0.18,0.03,0.02,41,-0.40685823998805637,1
-0.18,0.03,0.02,42,-0.40579217134274187,1
-0.18,0.03,0.02,43,-0.4003801810612052,1
-0.18,0.03,0.02,44,-0.4070903833820485,1
-0.18,0.03,0.02,45,-0.4031626521356547,1
-0.18,0.03,0.02,46,-0.40517660651894183,1
-0.18,0.03,0.02,47,-0.4042683506786437,1
-0.18,0.03,0.02,48,-0.40694062289775146,1
-0.18,0.03,0.02,49,-0.40457053898805384,1
-0.18,0.03,0.02,50,-0.40757686868387244,1
-0.18,0.03,0.02,51,-0.3965138303537275,1
-0.18,0.03,0.02,52,-0.4082366747390375,1
-0.18,0.03,0.02,53,-0.4070779590817346,1
-0.18,0.03,0.02,54,-0.40831834740875733,1
-0.18,0.03,0.02,55,-0.40376062147341574,1
-0.18,0.03,0.02,56,-0.40813824455574865,1
-0.18,0.03,0.02,57,-0.4083006732033102,1
-0.18,0.03,0.02,58,-0.40721055351630037,1
-0.18,0.03,0.02,59,-0.40759659169971374,1
-0.18,0.03,0.1,0,-0.40562424903818367,1
-0.18,0.03,0.1,1,-0.4080281200169458,1
-0.18,0.03,0.1,2,-0.40097707929172666,1
-0.18,0.03,0.1,3,-0.4077740824320122,1
-0.18,0.03,0.1,4,-0.4053297949169365,1
-0.18,0.03,0.1,5,-0.4079785539046218,1
-0.18,0.03,0.1,6,-0.40584520318699846,1
-0.18,0.03,0.1,7,-0.4067749951753553,1
-0.18,0.03,0.1,8,-0.4076135004454238,1
-0.18,0.03,0.1,9,-0.4037115281644708,1
-0.18,0.03,0.1,10,-0.4081293305803312,1
-0.18,0.03,0.1,11,-0.4079128781147059,1
-0.18,0.03,0.1,12,-0.4051567240120501,1
-0.18,0.03,0.1,13,-0.4081814923594182,1
-0.18,0.03,0.1,14,-0.40699941967921516,1
-0.18,0.03,0.1,15,-0.4058916141976161,1
-0.18,0.03,0.1,16,-0.4042365598471441,1
-0.18,0.03,0.1,17,-0.4069659300432344,1
-0.18,0.03,0.1,18,-0.4069101944418221,1
-0.18,0.03,0.1,19,-0.4073241131662824,1
-0.18,0.03,0.1,20,-0.4067780008616065,1
-0.18,0.03,0.1,21,-0.40812217512064,1
-0.18,0.03,0.1,22,-0.4081828000722426,1
-0.18,0.03,0.1,23,-0.40730403271774257,1
-0.18,0.03,0.1,24,-0.4028776760963678,1
-0.18,0.03,0.1,25,-0.40015720707949337,1
-0.18,0.03,0.1,26,-0.4083774387922852,1
-0.18,0.03,0.1,27,-0.40813785711197764,1
-0.18,0.03,0.1,28,-0.39176739030675245,1
-0.18,0.03,0.1,29,-0.403953338516418,1
-0.18,0.03,0.1,30,-0.3984655967139103,1
-0.18,0.03,0.1,31,-0.40820700563959594,1
-0.18,0.03,0.1,32,-0.40363379825341145,1
-0.18,0.03,0.1,33,-0.40788024095887104,1
-0.18,0.03,0.1,34,-0.4041556495352057,1
-0.18,0.03,0.1,35,-0.40578519525703155,1
-0.18,0.03,0.1,36,-0.4062942679575753,1
-0.18,0.03,0.1,37,-0.40643113472664605,1
-0.18,0.03,0.1,38,-0.4079776157950002,1
-0.18,0.03,0.1,39,-0.40574023874662696,1
-0.18,0.03,0.1,40,-0.40819030486450286,1
-0.18,0.03,0.1,41,-0.4067310802469504,1
-0.18,0.03,0.1,42,-0.40402018353801594,1
-0.18,0.03,0.1,43,-0.40809059202443665,1
-0.18,0.03,0.1,44,-0.4073773763441439,1
-0.18,0.03,0.1,45,-0.40665339962432656,1
-0.18,0.03,0.1,46,-0.4025036972522481,1
-0.18,0.03,0.1,47,-0.40070603656850756,1
-0.18,0.03,0.1,48,-0.4077296142909931,1
-0.18,0.03,0.1,49,-0.40704016048718183,1
-0.18,0.03,0.1,50,-0.403725568306068,1
-0.18,0.03,0.1,51,-0.40254974284455974,1
-0.18,0.03,0.1,52,-0.40756278287104686,1
-0.18,0.03,0.1,53,-0.40769407160592,1
-0.18,0.03,0.1,54,-0.40773508287917143,1
-0.18,0.03,0.1,55,-0.40350160199640855,1
-0.18,0.03,0.1,56,-0.4064078814359709,1
-0.18,0.03,0.1,57,-0.4075642288419715,1
-0.18,0.03,0.1,58,-0.4056046721971512,1
-0.18,0.03,0.1,59,-0.4038504513843337,1
-0.18,0.03,0.3,0,-0.4003308392580976,1
-0.18,0.03,0.3,1,-0.40586592519670855,1
-0.18,0.03,0.3,2,-0.4066872035924938,1
-0.18,0.03,0.3,3,-0.4008773373387333,1
-0.18,0.03,0.3,4,-0.4061040334411678,1
-0.18,0.03,0.3,5,-0.40752175089210085,1
-0.18,0.03,0.3,6,-0.4059217663973067,1
-0.18,0.03,0.3,7,-0.40719459177845324,1
-0.18,0.03,0.3,8,-0.4026162364343777,1
-0.18,0.03,0.3,9,-0.4068578715840555,1
-0.18,0.03,0.3,10,-0.407823818911337,1
-0.18,0.03,0.3,11,-0.4083980412977533,1
-0.18,0.03,0.3,12,-0.4076697426855822,1
-0.18,0.03,0.3,13,-0.40692175311453915,1
-0.18,0.03,0.3,14,-0.4076494733122954,1
-0.18,0.03,0.3,15,-0.40671561494421204,1
-0.18,0.03,0.3,16,-0.40555192704914106,1
