base_beta,sigma,corr_len,sep_prob,alpha_min_mean,alpha_min_std,alpha_min_q05,alpha_min_q50,alpha_min_q95
-0.165,0.05,0.02,1.0,-0.4034704198071907,0.0047548241918615375,-0.408128182392413,-0.4047954811860403,-0.39471043805600675
-0.165,0.05,0.1,1.0,-0.40400448103653347,0.0052357992981555855,-0.4079188104509194,-0.4059418569164552,-0.3955013486710613
-0.165,0.05,0.3,0.9666666666666667,-0.38266129136243454,0.1041189137430943,-0.40817837213352576,-0.40396937170609903,-0.3837447609047617
-0.16,0.01,0.02,1.0,-0.3865451893842597,0.007075432519276881,-0.3975093326326255,-0.38636279493508946,-0.3764955664796737
-0.16,0.01,0.1,0.9833333333333333,-0.3721487730240419,0.07400448856853344,-0.3984877873493104,-0.38230599882282834,-0.37001323362589195
-0.16,0.01,0.3,0.9,-0.3054292962714272,0.17433824021451114,-0.3953661971009104,-0.3777307020599816,0.18215937267068694
-0.16,0.03,0.02,1.0,-0.4042565191440554,0.0037239661936747837,-0.4082466823517832,-0.40540206157335223,-0.3964051461804242
-0.16,0.03,0.1,1.0,-0.40325487271521326,0.006057695076490462,-0.40831781408133994,-0.405208209424184,-0.38478284166673415
-0.16,0.03,0.3,0.95,-0.37127989509866544,0.12574893815193203,-0.4083077972550938,-0.4035215068174738,-0.3426044002429592
-0.16,0.05,0.02,1.0,-0.4044788608423903,0.004634429968483966,-0.40827360947401137,-0.406095187151877,-0.39937121403222126
-0.16,0.05,0.1,1.0,-0.4030781848474037,0.006161975543715469,-0.4083282672254494,-0.40495591827923794,-0.39304548655306903
-0.16,0.05,0.3,0.9333333333333333,-0.3655539438232835,0.14597595667274374,-0.4080385324653558,-0.4052870184764604,0.17582291903080477
-0.155,0.01,0.02,1.0,-0.37716667168924983,0.017810580227421175,-0.3913336529410369,-0.37759088222837156,-0.3693334159334543
-0.155,0.01,0.1,0.8833333333333333,-0.31095269937054737,0.1684676358841974,-0.38769543544279683,-0.3749465265419232,0.17714709611209956
-0.155,0.01,0.3,0.6666666666666666,-0.16831803310945723,0.2554771745604976,-0.3881998900680812,-0.3669946503756947,0.19353834111833912
-0.155,0.03,0.02,1.0,-0.40317411461039376,0.004769761180703261,-0.4080042740782739,-0.4052564276039887,-0.3945088714481113
-0.155,0.03,0.1,0.9833333333333333,-0.39035786212211493,0.07770765821714766,-0.4080320480421044,-0.4026936275516396,-0.3824877224762718
-0.155,0.03,0.3,0.9666666666666667,-0.3628768571914191,0.1184863463827594,-0.40758922856747265,-0.39633149339480117,-0.21376631969164692
-0.155,0.05,0.02,1.0,-0.40343536501689975,0.004428142583757092,-0.4080733491144685,-0.4044943817037209,-0.3975358759768395
-0.155,0.05,0.1,0.9833333333333333,-0.39319829573469517,0.07455814991704349,-0.4082364028323131,-0.4045187598905022,-0.38699471000248
-0.155,0.05,0.3,0.9166666666666666,-0.35371763401809836,0.16240354490416362,-0.408157583048404,-0.4040623885871979,0.20387795207804993
-0.15,0.01,0.02,0.8666666666666667,-0.30211477580527674,0.1720406006250445,-0.3814810283069653,-0.3718368939707589,0.17608738851106454
-0.15,0.01,0.1,0.5833333333333334,-0.11614225427760348,0.264332333059885,-0.3777010101514691,-0.2538919429247586,0.19559707479413008
-0.15,0.01,0.3,0.38333333333333336,0.004427773544427961,0.24841423082589667,-0.3806664820860217,0.18005491638920954,0.20714846018843244
-0.15,0.03,0.02,1.0,-0.4032288858480256,0.00449803406762747,-0.4081761262251675,-0.40444312197035326,-0.3946086807714648
-0.15,0.03,0.1,1.0,-0.3996001828355993,0.008572667109171171,-0.4083158330074818,-0.40222308408613583,-0.3834521094854184
-0.15,0.03,0.3,0.9333333333333333,-0.34764311471697423,0.1546709873017834,-0.4077148350801892,-0.3961616506852152,0.1943658327143672
-0.15,0.05,0.02,1.0,-0.40337015993985365,0.004972702279779895,-0.40799557536656206,-0.40509456843627456,-0.39312436543994633
-0.15,0.05,0.1,0.9833333333333333,-0.3918743960696997,0.07490031317539217,-0.40823160417703047,-0.4030786342105019,-0.3818400349071448
-0.15,0.05,0.3,0.9333333333333333,-0.3595263134243547,0.1517451805959846,-0.4080278777516276,-0.404285562654509,0.1989428233832934
-0.145,0.01,0.02,0.43333333333333335,-0.03978015377892579,0.25736764203892765,-0.37752375659824106,0.15242134484478365,0.188557972291426
-0.145,0.01,0.1,0.35,0.009205329662042664,0.24668795026769702,-0.3751276862398229,0.1797375376990064,0.2003594103441229
-0.145,0.01,0.3,0.11666666666666667,0.14124053955759175,0.1672034442558078,-0.36789322536114744,0.20211999679838855,0.219547717607629
-0.145,0.03,0.02,1.0,-0.40150062578222573,0.006472535179893801,-0.4079468330633176,-0.40418451697595414,-0.3886631537384998
-0.145,0.03,0.1,0.9833333333333333,-0.3861537493605604,0.07613265372181074,-0.40731120446049407,-0.40096870202188956,-0.37269000000119973
-0.145,0.03,0.3,0.7833333333333333,-0.25918401582380324,0.24253858020452865,-0.4067399881969714,-0.385246825216578,0.2047405072671258
-0.145,0.05,0.02,1.0,-0.4035256980158149,0.004944768512033397,-0.40799841765371453,-0.40536264830421753,-0.39182715190386885
-0.145,0.05,0.1,1.0,-0.4002221530932867,0.008758487012743987,-0.407986738001063,-0.40337900752343625,-0.38411907541447815
-0.145,0.05,0.3,0.9333333333333333,-0.3609718237279867,0.14457660019703963,-0.40799912032665764,-0.40303165038414424,0.0943133054612804
